Geneid,Tumor_vs_Normal,PDX_vs_Normal
ENSG00000196917,1.0533180375527085,0.9356292266484284
ENSG00000139726,0.2183622016221074,0.14698513284237613
ENSG00000130783,0.12836881127741617,0.46601877860816443
ENSG00000130787,0.4498585745630379,0.3947745451097324
ENSG00000139722,0.3805333778964872,0.42119929504858433
ENSG00000280138,0.8706381890208927,0.8405267596083021
ENSG00000150967,0.5185869734415687,0.43793099570360106
ENSG00000111325,0.06633428797926377,0.3992867150829177
ENSG00000090975,-0.06925657914883843,-0.0025552169645082223
ENSG00000280381,-0.5159889164445474,-0.3298465247588255
ENSG00000051825,0.4745679729211556,0.565436652771913
ENSG00000280120,0.25059327113010577,-0.04777793055122492
ENSG00000130921,-0.02781177071207086,0.15398475301654635
ENSG00000111328,1.2351394905907593,1.2518674846481535
ENSG00000139697,-0.13155176657529033,-0.09894230998620834
ENSG00000256092,-0.033504564509574064,-0.029234902301113475
ENSG00000183955,0.41818628309640715,0.3522445156038554
ENSG00000150977,3.2415717450806154,3.2375285705054946
ENSG00000184209,0.16438029881118688,0.1256778826610141
ENSG00000188026,1.1074961946679354,1.0209386368609734
ENSG00000247373,-0.7274667167584259,-0.796649189350197
ENSG00000086598,0.5902027680269164,0.6152723914759548
ENSG00000111364,0.0783930511739177,-0.011831185614642692
ENSG00000111361,-0.1755997359157444,0.009526903822488109
ENSG00000111358,0.5242211879022758,0.5481316448958591
ENSG00000168778,0.8861326847614337,0.82389360041901
ENSG00000185344,0.12244252177513015,0.051375553297201115
ENSG00000286092,-0.1910772738345391,0.033478295365969135
ENSG00000197653,0.08953386530491558,0.10012498853707275
ENSG00000119242,0.3235675220011398,0.43037860461984145
ENSG00000250091,0.5009623641355236,0.18789175424790988
ENSG00000270130,-0.2038386670915775,-0.424378729373064
ENSG00000270048,-0.3942562135139084,-0.16321090131503213
ENSG00000269997,-0.44660363579899076,-0.4256976304170659
ENSG00000269938,-0.17929493219834103,-0.08602807965277104
ENSG00000270061,-0.1162762142754934,0.06513972255116851
