Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Androgen Response,-0.19903979844643127,-0.7582303935751445,0.9366197183098591,1.0,1.0,22/99,32.22%,HERC3;ALDH1A3;SPDEF;BMPR1B;NGLY1;SRF;LIFR;ZBTB10;IQGAP2;CDC14B;CENPN;TPD52;RAB4A;INPP4B;ELL2;TSC22D1;KLK3;SEC24D;MAK;ELOVL5;ACSL3;SMS
prerank,Protein Secretion,-0.19926473880713572,-0.7416658079728413,0.9596330275229358,1.0,1.0,31/95,36.97%,SH3GL2;CLN5;BET1;VPS45;COPE;SSPN;STX16;ICA1;RAB9A;BNIP3;RAB5A;NAPG;COG2;TPD52;VPS4B;ZW10;CLTA;NAPA;SEC24D;SGMS1;OCRL;GBF1;VAMP3;RAB14;LAMP2;CAV2;GOSR2;ABCA1;ARFGEF2;COPB1;SNAP23
prerank,Apoptosis,-0.1830577427648822,-0.7416556025347217,0.9861111111111112,1.0,1.0,16/156,15.65%,DIABLO;PRF1;GSTM1;TNFRSF12A;TGFBR3;CLU;PSEN2;AIFM3;BCL2L2;PPP3R1;RHOT2;AVPR1A;GPX1;VDAC2;LEF1;TSPO
prerank,Complement,0.17118793647659333,0.7334928691410031,0.9952380952380953,1.0,1.0,48/191,28.84%,KCNIP2;S100A13;PDGFB;TFPI2;L3MBTL4;GZMK;PRSS36;C4BPB;CDH13;RCE1;ATOX1;CCL5;USP14;PCLO;PIK3CG;SERPINB2;F5;ACTN2;RBSN;CTSV;FDX1;JAK2;SCG3;PLA2G4A;GATA3;C9;GNAI2;GZMB;PRKCD;GP9;GNB2;RAF1;F8;SRC;FCN1;LAP3;APOBEC3F;LYN;TMPRSS6;NOTCH4;RABIF;XPNPEP1;KIF2A;CASP1;LIPA;MSRB1;CR1;MMP13
prerank,DNA Repair,-0.17670907836908387,-0.7138621112981297,0.9893428063943162,1.0,1.0,39/146,26.10%,NT5C;CDA;IMPDH2;NUDT21;POLR2J;ITPA;SURF1;TK2;DGCR8;POLD1;SNAPC5;XPC;VPS37D;NME3;CSTF3;POLD4;ADCY6;TAF1C;RPA3;GTF2A2;PDE6G;RBX1;ZNF707;CCNO;AK1;NELFB;BRF2;NCBP2;DUT;ELL;EDF1;ERCC3;POLR2K;TAF10;UMPS;TARBP2;POM121;CANT1;ADA
prerank,Oxidative Phosphorylation,-0.16899200457320976,-0.7027385932013196,0.9983818770226537,1.0,1.0,24/198,18.98%,SLC25A6;NDUFA7;TIMM9;SLC25A11;HTRA2;NDUFB5;SURF1;SLC25A20;COX8A;PDP1;RHOT2;HSD17B10;VDAC2;COX4I1;ECI1;SUCLG1;SUCLA2;ATP6V1D;NDUFS4;ATP5PF;ATP5F1D;COX6A1;NDUFB4;ACADVL
prerank,Glycolysis,0.16514518107720993,0.6966847492086955,0.997624703087886,1.0,1.0,36/188,22.23%,GAL3ST1;ALG1;CYB5A;EFNA3;NASP;CHPF2;PGLS;LHPP;TPST1;NSDHL;AURKA;BIK;PRPS1;CTH;CHST4;SPAG4;P4HA2;BPNT1;SAP30;VLDLR;PYGL;IDUA;GPC3;CACNA1H;NDST3;POLR3K;PSMC4;PGM2;SOD1;MPI;GOT1;G6PD;SLC25A10;GLRX;HAX1;PHKA2
prerank,heme Metabolism,-0.1636707652402628,-0.6857525450674632,0.9982758620689656,1.0,1.0,50/183,32.39%,ACSL6;SPTA1;GYPE;TSPO2;ACKR1;SNCA;ADD2;EPOR;HTRA2;BLVRA;ALDH1L1;CCDC28A;SLC4A1;TRIM10;MINPP1;SLC22A4;ASNS;ERMAP;TENT5C;ATG4A;ARL2BP;MARCHF2;UCP2;SLC30A1;ABCG2;TNRC6B;CPOX;AGPAT4;GCLC;GCLM;ELL2;CA1;CAT;RHD;KAT2B;PPP2R5B;DCAF10;RAP1GAP;ABCB6;CTSE;SLC66A2;SELENBP1;SLC10A3;TMEM9B;HBB;MPP1;MOSPD1;NEK7;OSBP2;HTATIP2
prerank,UV Response Dn,-0.17003674058238738,-0.6725699077426185,0.9931153184165232,1.0,1.0,18/143,17.75%,MMP16;MAGI2;FZD2;DBP;TGFBR3;ADORA2B;CELF2;ARHGEF9;VAV2;MTA1;CACNA1A;PEX14;RBPMS;HAS2;CAP2;MT1E;SCN8A;TOGARAM1
prerank,Bile Acid Metabolism,-0.1769766906655485,-0.6711245700318488,0.9982847341337907,1.0,1.0,8/93,10.30%,PEX11G;SERPINA6;NR1I2;HSD17B6;PEX12;AR;PEX7;LCK
prerank,UV Response Up,0.16051572416572285,0.6684996164358922,0.9955654101995566,1.0,1.0,23/150,20.94%,TCHH;GAL;MAPK8IP2;KCNH2;NPTXR;CHRNA5;C4BPB;SPR;CCNE1;OLFM1;FOSB;EPHX1;SLC25A4;ATP6V1F;PSMC3;CTSV;CHKA;HTR7;GRPEL1;BAK1;CDK2;NR4A1;SIGMAR1
