Term,NES_tumor,FDR q-val_tumor,NES_pdx,FDR q-val_pdx
Regulation of MITF-M-dependent Genes Involved in Lysosome Biogenesis and Autophagy,1.4818510711039474,0.0712342060887407,1.5284090661074496,0.052652576528111214
Autophagy,1.313525567121394,0.17218447594115843,1.3206336471102946,0.1691186026570255
Chaperone Mediated Autophagy,1.2635160978006104,0.21685790249279321,1.3274829741607985,0.16354860813466315
Macroautophagy,1.2009657902971442,0.28430851013465863,1.2022183787886709,0.2876054528662213
Late Endosomal Microautophagy,1.1391696358525982,0.3587959367736381,1.0977666222470692,0.40751610327562987
Selective Autophagy,1.1386219999115104,0.35923907741756356,1.1147829720139577,0.38588787212302805
Lysosome Vesicle Biogenesis,1.044505233888589,0.48066000972868644,1.033648052745056,0.49034838150377047
